ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR156b_Mature	-8.00106785	-8.6729865	-7.464262	-9.19082	-9.157542	-7.71674975	-8.671707	-9.229643	-8.4876835	-9.0276525	-8.654393	-7.7095072	-8.0955395	-8.04738925	-7.795962	-8.28651	-9.1098075	-8.117785	-8.15686765	-7.154129	-8.14295975	-6.267963	-6.2808955	-9.5414095	-5.917014	-5.7377305	-6.89686895	-7.5122138	-8.603999	-7.27763315	-10.051221	-8.41295425	-8.19069	-9.760267	-9.9570495	-8.62062375	-9.4569805	-9.788299	-7.379299	-8.7745017	-10.019058	-8.836162
osa-miR397a_Mature	-8.7217755	-8.3115952	-7.59443185	-9.7292895	-9.2444455	-7.7930863	-8.7080475	-9.2901205	-8.5984075	-9.048534	-10.223423	-8.6557205	-6.093609	-9.336868	-8.3065765	-8.4415435	-10.0240275	-8.884163	-9.85288575	-9.90437875	-8.6077645	-9.5671765	-10.192314	-9.565835	-7.0266385	-5.84910165	-7.00717595	-9.235617	-9.107487	-7.475348	-10.1532385	-10.1013055	-8.313786	-9.8297465	-8.8923005	-8.98272	-9.4865835	-9.718549	-8.4072305	-8.5359672	-8.553058	-8.9370135
osa-miR156g_Mature	-7.8490682	-8.381045	-7.4607029	-7.797963	-9.1369485	-7.67913435	-8.589394	-9.156616	-8.4225085	-9.0116545	-9.187201	-7.85017	-8.08237625	-8.56032525	-8.113632	-7.7983367	-9.482373	-8.69634725	-8.0718985	-6.8998065	-8.53988975	-6.1993668	-6.1825581	-9.50511825	-6.18258405	-5.1833329	-6.87726125	-7.1870961	-7.7104145	-6.34121875	-10.0256195	-8.08612385	-8.159257	-8.78370265	-9.907169	-8.8230205	-9.4196625	-9.765739	-8.2413975	-9.2072725	-9.939465	-8.810589
osa-miR172b_Mature	-8.6837605	-6.8357305	-7.531215	-6.46189565	-9.1589205	-7.7417495	-8.6823515	-9.213129	-8.523865	-9.03140375	-10.1693	-8.6039755	-8.167799	-9.2899045	-8.2283155	-8.067232	-9.235599	-8.827902	-9.4876265	-9.814265	-8.5438265	-9.4994405	-9.6742155	-9.519063	-6.945072	-5.7838338	-6.95510165	-9.166743	-9.519116	-6.8252649	-10.093547	-10.024611	-8.24588775	-9.8261785	-7.9654918	-8.905109	-9.4639355	-9.7237955	-8.3224875	-8.878805	-9.769449	-8.8691945
osa-miR159d_Mature	-8.83763	-9.311159	-7.53974245	-9.68201	-9.2300845	-7.75189615	-8.61445525	-9.3057995	-8.5575655	-9.012427	-10.1462295	-8.2847555	-8.17977	-9.2944365	-8.220453	-8.369588	-9.9736195	-8.775488	-9.816256	-9.832549	-8.5145345	-9.5361445	-10.095713	-9.33119	-6.93952795	-5.72211785	-6.9673697	-9.1939735	-9.537152	-6.99115945	-10.110386	-10.130706	-8.25021	-9.26625875	-9.938276	-8.9240135	-9.4373595	-9.78611	-8.3405635	-9.573573	-10.0665875	-8.908527
osa-miR169e_Mature	-6.9305495	-6.4091273	-7.36221835	-8.757486	-8.665921	-7.77287735	-8.7015465	-8.4594335	-8.2192655	-8.875177	-9.338136	-8.15930175	-8.220572	-8.782609	-7.6926462	-8.406608	-9.890602	-8.64584125	-8.7318395	-7.9067047	-8.587888	-7.5059178	-7.5588797	-9.5672555	-6.9854064	-5.83239915	-6.99035815	-9.21102825	-9.27807025	-7.45185625	-10.1469335	-9.772516	-7.3043955	-9.180861	-10.002711	-8.944135	-9.4953665	-9.594586	-8.374229	-8.9136255	-9.356828	-8.9143075
osa-miR159b_Mature	-8.733241	-9.1559115	-7.4782623	-9.5813315	-9.109024	-7.7356867	-8.5315955	-9.1749055	-8.4604005	-8.917819	-10.087031	-8.580707	-8.10709225	-9.237444	-6.85894665	-8.314497	-9.9192145	-8.715622	-9.7795855	-9.7003175	-8.373081	-9.1826115	-7.85501035	-9.3719385	-6.7021352	-5.0027635	-6.92724915	-9.1359465	-9.416496	-7.0490378	-10.0248	-10.03452	-8.165301	-8.758737	-9.781548	-8.170511	-9.300287	-9.6689875	-8.223586	-9.490704	-9.956839	-8.81122
osa-miR395d_Mature	-8.440514	-8.6556785	-7.45384235	-8.000885	-9.1266	-7.7345993	-8.59875475	-8.749864	-8.4448515	-9.005879	-7.4830705	-6.6195425	-8.0889735	-8.6534585	-8.120667	-8.2749205	-9.8940785	-8.2041403	-8.62536685	-8.624014	-8.4178895	-7.3114655	-6.65739085	-8.8262045	-5.37008	-4.14830185	-5.85977575	-7.46253315	-7.26210265	-6.55617285	-9.3020615	-8.7884975	-8.1517595	-8.39107625	-8.5850262	-8.700532	-9.3894075	-9.752472	-8.0778343	-9.0250345	-9.28874025	-7.522044
osa-miR169b_Mature	-7.1794004	-6.8627192	-7.582279	-8.901751	-8.00202655	-7.77817485	-8.7018735	-8.7763855	-7.8358622	-9.0504065	-9.6256605	-7.871316	-8.219061	-7.7192926	-8.273544	-8.22641435	-9.2356335	-8.8846325	-9.2890115	-8.706251	-8.589713	-8.45181	-7.97677115	-9.554871	-6.604131	-4.99750995	-5.5501677	-8.715957	-8.72308875	-7.39309695	-10.052332	-9.137689	-8.30129175	-7.58924975	-9.216696	-8.9725625	-9.255386	-9.686874	-8.390007	-9.4982265	-8.62930115	-8.8786975
osa-miR156a_Mature	-7.3676565	-8.597217	-7.44441655	-8.45241	-9.030124	-7.66878675	-8.618684	-9.0637515	-8.444377	-8.954987	-9.075154	-7.83080875	-8.063999	-8.28809325	-7.636634	-7.61186565	-9.6870625	-7.314646	-8.280347	-7.0162787	-8.452473	-6.0594063	-6.174225	-9.3856545	-6.25926315	-5.0669977	-6.84957365	-7.13103625	-8.47372125	-5.9794452	-9.739106	-7.415607	-8.144455	-9.7575725	-9.9186935	-8.784364	-9.41454525	-9.633654	-8.23196425	-9.030581	-9.671396	-8.754477
