ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR393b	-8.29237425	-9.3767585	-7.597193875	-8.74258765	-9.30427325	-7.621155975	-7.787749025	-8.619664625	-8.60555775	-8.94265425	-9.7116785	-7.629320525	-8.2452915	-8.79281015	-8.17522225	-8.043762	-9.0242925	-8.2071715	-7.337028125	-5.928195825	-7.1562084	-5.0470173	-6.118619225	-6.077155	-2.009367125	-2.233171575	-1.928669475	-3.068829875	-3.838027725	-2.90193865	-6.16625905	-7.159402375	-7.66725315	-5.32377815	-6.535261975	-4.8398392	-8.372338875	-8.807646875	-5.930241325	-4.01701045	-7.262723175	-6.194734675
osa-miR395s	-8.0428196	-8.568414125	-6.497217875	-9.545795	-8.99386225	-7.7020945	-8.53681225	-6.684896275	-6.0131797	-8.948199125	-7.047867675	-7.86448535	-7.581015375	-9.1626895	-8.13440125	-8.25598825	-9.34670075	-8.7235975	-9.56006775	-9.5646415	-7.683156825	-9.38710175	-9.617323	-9.42264375	-6.795365125	-5.588219575	-6.839414975	-9.06000725	-8.716223	-7.3025778	-8.74476	-9.17335975	-8.13567905	-9.426936	-9.58525375	-8.800675	-9.364722375	-9.67948725	-8.222655075	-6.6042184	-9.38957775	-8.7803405
osa-miR443	-8.24807475	-7.53076	-7.539814125	-9.512740375	-9.21807025	-7.7619338	-8.67425	-9.27329675	-8.3928635	-9.04248675	-9.67741425	-7.622811	-8.17565075	-9.29740325	-8.20081575	-8.278595875	-9.525303	-8.273055325	-9.52133325	-9.586651	-8.541185	-9.361375625	-9.04214525	-9.531753	-6.388258575	-5.81463765	-6.77247665	-8.66147925	-9.527378	-7.2734124	-9.8896825	-9.40887925	-8.25745	-8.5544311	-9.2322175	-8.75443075	-9.464242125	-9.79708	-7.0093608	-9.1987835	-10.07116975	-7.928979
osa-miR440	-7.9025631	-7.9731565	-6.618114675	-8.323002475	-7.974113175	-6.364416525	-8.391755625	-8.1083716	-7.355992375	-8.485281175	-8.39226205	-7.1896535	-7.45655615	-8.670764125	-6.422620525	-8.0565985	-8.72617935	-6.7950422	-8.466259125	-8.3160806	-7.158424125	-7.92268575	-7.75542025	-8.08867175	-6.86971895	-5.7443186	-6.516396025	-8.6329098	-8.79414675	-7.366371875	-8.539265575	-8.73304	-7.282347825	-8.40152735	-8.472182	-7.895384225	-8.503791025	-8.631579325	-7.035722675	-8.350006675	-8.303090575	-7.809910225
osa-miR393	-6.608865225	-6.6644986	-6.12614145	-7.625901675	-7.5760245	-5.872926925	-7.398281675	-6.891337625	-6.851249225	-7.992305	-7.83720575	-6.27922875	-7.518134325	-7.37805325	-6.848722225	-7.3984895	-7.256738175	-7.01254475	-7.399156275	-8.13745785	-7.1544306	-7.873420725	-7.32738135	-7.798819975	-6.64809915	-5.00093155	-6.886179625	-6.900689925	-7.4080046	-6.54150265	-7.6194647	-7.24936325	-6.944146575	-6.771239275	-7.93742915	-6.98008275	-7.04676275	-6.743044375	-6.5474186	-6.375509325	-6.000208575	-6.79878685
osa-miR529	-8.04027565	-7.55909115	-7.429133825	-9.36254525	-8.930555	-7.780123575	-8.53361775	-8.09273475	-8.24721475	-8.920639625	-8.6237492	-7.570014825	-7.811779825	-8.3173735	-7.954628	-7.88666275	-9.30777375	-8.39492065	-7.68414665	-8.317673625	-7.107986375	-7.66219175	-7.31747125	-8.55689675	-6.19150775	-5.5726048	-6.451228925	-8.374713325	-8.49191295	-6.6958759	-7.65249495	-7.432165	-6.908560675	-8.4210161	-8.42976375	-7.9552119	-8.36078	-8.234583325	-7.664976275	-7.82019845	-8.954982925	-7.51264625
osa-miR528	-4.707076675	-4.59754875	-4.5671249	-5.100504525	-4.7536893	-4.244699725	1.83184315	1.997669225	2.1532731	-2.497933625	-1.3828542	0.582619675	-3.6505586	-4.075809075	-2.76893545	-4.29127285	-4.710031775	-3.55503845	-5.971677075	-5.913780375	-6.425785675	-4.743550525	-4.81374995	-5.265737825	-0.664563313	-0.719560875	-2.730764975	-3.512437075	-2.4992771	-1.499309415	-1.61464974	-1.4207878	0.14407825	0.905377394	0.445261493	0.0870223	-2.121832625	-2.348814975	-2.833233475	-2.63082085	-1.61338665	-0.306642525
osa-miR395t	-8.166416125	-8.65387955	-7.6244156	-8.88236325	-7.747422825	-7.75675905	-8.627656875	-9.3692985	-8.63340975	-8.351035925	-8.8256455	-8.186363075	-7.950586825	-8.559420375	-8.054005575	-8.166367	-9.3563915	-8.405638575	-9.076613	-8.75521475	-8.592736	-8.654834625	-8.6565609	-9.575752375	-6.8321969	-5.788172825	-7.056856925	-8.424401	-8.935113375	-7.5291215	-9.50838775	-9.52862525	-8.02723675	-8.09723715	-9.984151875	-9.01595525	-8.65646865	-8.09434125	-8.42273625	-7.609193525	-9.15592255	-8.8171795
osa-miR167g	-8.342776375	-8.561564075	-7.28870475	-9.26697475	-8.76296425	-7.717795975	-7.951378	-8.6777965	-8.37671275	-8.9880255	-9.22239175	-8.262173825	-8.091106575	-7.5894605	-8.1400155	-8.167445675	-9.01509475	-7.126299375	-9.019009875	-8.30310315	-8.512902	-8.049961825	-7.6788012	-8.3517064	-6.51450395	-5.67269265	-6.892094075	-7.75790765	-8.459450875	-7.16063755	-9.450237	-8.99002225	-8.167970425	-8.994928	-9.771822375	-8.8094935	-9.321207	-9.66433075	-8.2007865	-7.831825	-8.9499567	-8.823347
osa-miR167f	-8.5336335	-8.47282075	-5.817092375	-7.92151925	-8.907206	-7.72322975	-8.63169325	-8.81494365	-8.512618375	-9.0055165	-10.10004825	-7.68180175	-8.14349825	-8.873101175	-7.92938685	-8.35018275	-9.254897375	-8.60492175	-9.74280275	-9.79525975	-8.5169915	-9.22121425	-9.86370375	-9.437380375	-6.673258075	-5.775771775	-6.5276522	-8.82903625	-8.883335	-7.3605035	-10.06663025	-9.927604	-8.21907775	-9.742335875	-9.577972	-8.81432325	-9.432935	-9.760221	-7.1287535	-8.9470095	-10.02477313	-8.8556685
