ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR319	-8.321573325	-7.92258225	-7.591520825	-9.000489625	-8.96911975	-7.6302495	-8.3524993	-7.11926585	-7.70472825	-9.030509375	-8.328277	-7.92173475	-7.44815825	-8.189156675	-8.24175175	-8.4360285	-8.3846635	-8.18229695	-8.030156625	-7.624372	-8.5551055	-7.14591525	-7.1147733	-9.23564525	-6.947423325	-5.6660464	-7.034848375	-8.878998125	-8.72638675	-7.425499225	-7.21962735	-7.58556515	-8.2728	-8.23281675	-7.775973	-8.9814705	-9.44270475	-8.816190125	-8.077995825	-7.791319875	-7.550457025	-8.29908475
osa-miR393	-8.31183	-9.207457	-7.4901595	-9.586541	-9.12571225	-7.715101	-8.5908	-9.206225	-8.484946	-8.990859	-10.09554	-8.5710505	-6.37976365	-8.9852595	-8.136606	-8.3215395	-8.20548035	-8.701227	-9.794265	-8.4363605	-8.426541	-8.7272475	-8.204566	-8.7159349	-6.86553645	-5.7371905	-6.93057155	-9.1234405	-9.4494605	-6.944448	-10.05987825	-10.03545925	-8.17307325	-8.2077594	-9.1016985	-8.8475195	-9.407553	-9.7342	-8.2633005	-7.46578475	-9.955764	-8.820016
osa-miR396	-8.87670183333	-9.34681658333	-7.57902761667	-9.72247941667	-9.271816	-7.78752318333	-8.4025257	-9.33476183333	-8.58886941667	-8.88232283333	-10.2036571667	-8.66881	-8.226033	-9.34315991667	-8.25495016667	-8.42065433333	-10.0228896667	-8.818456	-9.58007591667	-9.87669475	-8.56239233333	-9.57143708333	-10.1876446667	-9.5600545	-6.99715968333	-5.8590026	-7.0245293	-9.24455716667	-9.57339683333	-7.46414363333	-10.0962609167	-10.1672996667	-8.29176775	-9.57412275	-9.92184016667	-8.97136416667	-9.47960383333	-9.80985425	-8.3752435	-9.61327616667	-10.1235731667	-8.43111355
osa-miR397	-8.18295525	-8.8693651	-7.615413275	-7.551843875	-9.3025375	-7.8085159	-8.72077025	-9.34859775	-8.6251405	-9.0734415	-10.247444	-8.63916875	-7.18970075	-9.367827	-8.333083	-8.46788125	-10.050023	-8.90379375	-9.858047625	-9.94040375	-8.63353775	-9.60591075	-10.2208435	-9.59825825	-7.05098685	-5.886392325	-6.928612975	-9.273812	-9.37848125	-7.51682275	-10.16738425	-10.1629945	-8.334995	-9.84038725	-9.446796625	-9.01183575	-9.501136	-8.59513915	-8.4239575	-9.1156811	-9.39053975	-8.97144575
osa-miR394	-7.13885615	-6.523616	-5.7810615	-6.93104795	-7.3638285	-6.6973813	-7.754815	-6.95618425	-6.583387	-6.53144985	-7.1465976	-5.9615065	-6.8335297	-6.831432	-6.3956815	-7.6989275	-7.1656338	-6.73851	-7.1369922	-7.635487	-8.2938155	-8.219662	-8.0158315	-7.4578625	-6.8578955	-4.7690595	-6.909772	-6.66442515	-6.48290885	-6.636157	-5.92648865	-7.49611905	-6.96142665	-7.329241	-6.75373585	-7.2098086	-7.6116338	-7.30363675	-7.06177135	-6.1045698	-6.72325995	-6.95045885
osa-miR395	-8.39924727609	-8.61149062826	-7.24262328913	-8.86939862826	-9.06709008696	-7.52966762826	-8.56224551739	-9.02927641304	-8.30169586304	-8.9098396413	-9.42088801739	-7.45418259565	-7.90598005	-8.83014458913	-7.82679664348	-8.15620431087	-9.42897345652	-7.91852323478	-8.69518231304	-8.09321515217	-8.24811631304	-7.54707029565	-7.03133928043	-9.09852501087	-5.95871306087	-5.26086848261	-6.25953980435	-8.09684298913	-8.68991817609	-6.5897355413	-9.63569105435	-8.90355894565	-8.00423781087	-9.20111117609	-9.57905273478	-8.63109718696	-9.31371643478	-9.3333965087	-8.03769665	-8.99456126087	-9.40678498913	-8.52235156304
osa-miR159	-8.74613625	-9.20719375	-7.48169285	-9.21651104167	-9.15667895833	-7.72587904167	-8.57294354167	-9.22345358333	-8.48277233333	-8.96765658333	-10.1037369583	-8.394819125	-8.13156273333	-9.21961808333	-7.64774766667	-8.32792095833	-9.93146533333	-8.19539658333	-9.78239	-9.52554113333	-8.46641479167	-9.429714	-8.87593580833	-9.41981516667	-6.82404169167	-5.57798923333	-6.76450578333	-9.14318758333	-9.4775575	-7.18852039167	-9.76101415	-9.9415985	-8.152125625	-9.45702979167	-9.886276	-8.76220645833	-9.38223841667	-9.66236925	-8.288500625	-9.46095204167	-9.51229025	-8.75839104167
osa-miR390	-6.4771154	-8.571071	-6.93109715	-7.1339235	-8.3333108	-7.28443315	-8.49747425	-9.0759985	-8.3606655	-8.9032775	-9.53312675	-7.67349525	-7.967234	-7.999399	-8.1300365	-7.6327105	-9.155526	-7.6529813	-7.6177385	-7.15758335	-8.411021	-6.7670733	-6.327216	-9.3779775	-5.9802482	-5.5784765	-6.7575783	-7.45619335	-8.1657568	-6.99726375	-9.942094	-8.3312835	-8.0504505	-9.6643635	-9.852522	-8.6948815	-9.345034	-8.7258138	-8.153202	-8.66207775	-9.107743	-7.0435192
osa-miR172	-8.6984167125	-8.3734778	-7.5271345875	-8.4547357875	-9.205559125	-7.744004225	-8.581350375	-9.178412875	-8.533809375	-8.862937875	-10.14317425	-8.613379875	-7.7844211875	-9.25594625	-8.2246354375	-8.0477164125	-9.62105225	-7.9151406	-9.721992875	-9.81025125	-7.205129075	-9.51223775	-10.0080255	-9.519484375	-6.9309915125	-5.6711936625	-6.57902385	-8.9760155625	-9.40963175	-7.2749324625	-10.099804875	-10.1043413125	-8.2343875625	-9.696061625	-9.3427502	-8.908806875	-9.450021125	-9.77060825	-8.3077635	-9.38680875	-9.3241831875	-8.472260325
osa-miR528	-6.6755058	-7.265961	-6.9690683	-7.24449315	-9.233262	-6.64538045	-6.2171087	-5.8466808	-4.3277118	-7.6110318	-6.27318955	-4.85277795	-6.5482154	-6.347112	-6.075333	-5.9127046	-7.11118535	-6.101184	-6.4944527	-5.98859	-7.8524725	-5.1070935	-4.69159985	-8.66880825	-4.04222485	-4.8232639	-5.88931615	-6.49052685	-6.448246	-6.222229	-8.086854	-6.7516041	-7.03631435	-5.55470775	-6.3556244	-4.73435065	-7.23982465	-7.710724	-7.2853069	-6.9531652	-7.6968998	-6.99217415
