probeName	Anther_0.3-0.6 mm	Anther_0.7-1.0 mm	Anther_1.2-1.5 mm	Anther_1.6-2.0 mm	Embryo_07 DAF	Embryo_10 DAF	Embryo_14 DAF	Embryo_28 DAF	Embryo_42 DAF	Endosperm_07 DAF	Endosperm_10 DAF	Endosperm_14 DAF	Endosperm_28 DAF	Endosperm_42 DAF	Inflorescence_0.6-1.0 mm	Inflorescence_3.0-4.0 mm	Inflorescence_5.0-10 mm	LeafBlade_125DAT_12:00	LeafBlade_125DAT_24:00	LeafBlade_27DAT_12:00	LeafBlade_27DAT_24:00	LeafBlade_76DAT_12:00	LeafBlade_76DAT_24:00	LeafSheath_27DAT_12:00	LeafSheath_27DAT_24:00	LeafSheath_76DAT_12:00	LeafSheath_76DAT_24:00	Lemma_1.5-2.0 mm floret	Lemma_4.0-5.0 mm floret	Lemma_7.0 mm floret	Ovary_01 DAF	Ovary_03 DAF	Ovary_05 DAF	Ovary_07 DAF	Palea_1.5-2.0 mm floret	Palea_4.0-5.0 mm floret	Palea_7.0 mm floret	Pistil_05-10 cm inflorescence	Pistil_10-14 cm inflorescence	Pistil_14-18 cm inflorescence	Root_27DAT_12:00	Root_27DAT_24:00	Root_76DAT_12:00	Root_76DAT_24:00	Stem_83DAT_12:00	Stem_83DAT_24:00	Stem_90DAT_12:00	Stem_90DAT_24:00
osa-miR156l	-3.407984625	-8.095984008333334	-9.019678749999999	-9.330715291666666	-9.53039225	-9.010945458333333	-8.26127255	-8.641718416666668	-7.147464	-8.031020925	-8.108795958333333	-7.890159408333333	-6.9260532999999995	-8.011579574999999	-8.719225508333333	-8.963473066666667	-7.785538375000001	-8.269313108333334	-8.532125083333334	-8.084746299999999	-8.216764358333334	-8.348404541666667	-8.993769899999998	-8.748995208333334	-8.546719441666665	-6.42781535	-8.099020258333333	-7.516173916666666	-8.679353375	-9.023848633333332	-8.012196883333333	-8.768147333333333	-9.124590775	-9.026556625	-7.7007278	-8.217457908333333	-9.0088804	-8.207218091666666	-7.949671383333333	-8.170666808333333	-6.347085258333333	-5.048811725	-4.852456825	-5.238905091666667	-8.703766941666666	-9.40598325	-9.102480458333332	-9.3152345
osa-miR159a	-5.5285589875	-5.883072608333333	-6.553077200000001	-6.022634333333333	-2.9957190333333337	-2.9720938166666664	-2.254756458333333	-0.7673024403333333	-0.9527800059999999	-5.511431975	-4.744397683333333	-5.576377408333332	-5.572424133333334	-6.170986825	-1.61584895	-1.5473686916666667	-1.2554980976666668	-1.0105853766666666	-0.980739357	-0.583718621	0.04156215900000001	-1.528073475	-2.0540600666666666	-2.7936704333333338	-1.3280785083333333	-3.296368641666666	-2.527884558333333	-4.056170533333333	-3.8983459000000003	-2.942629625	-3.8465377333333333	-3.6348569583333337	-4.190226058333333	-4.350562483333333	-4.371366258333333	-4.348785341666667	-3.3542985249999995	-2.5150746666666666	-1.9343149750000002	-1.6371043666666667	-4.298978508333334	-3.2823996666666666	-3.114598858333333	-3.1183526916666664	-3.755124	-2.5021937833333334	-4.048520916666667	-2.5904983583333334
osa-miR159b	-7.737758625	-8.458185816666665	-8.751672016666665	-8.971683458333333	-7.44215045	-7.098632675	-6.328449783333333	-4.292955458333334	-4.464417325	-7.912259966666667	-8.140883566666668	-7.784539508333332	-6.914475725	-7.916808591666666	-6.058119141666666	-6.434303591666667	-6.1334394166666675	-6.016544841666668	-6.0529346083333335	-5.440502758333333	-5.551657325000001	-6.3338095	-5.6433846999999995	-7.42589775	-6.098810891666667	-6.133396583333333	-6.366060091666665	-7.389047483333333	-7.607822883333334	-6.86808805	-6.494573475	-7.524945583333333	-8.121001375	-8.013086316666666	-7.227419075	-7.717104825	-7.813235116666667	-6.6934837416666655	-5.844941783333333	-5.326996308333334	-6.8249805	-5.860468375	-5.053153708333333	-5.8675858	-6.633859375	-5.502364133333334	-7.329551016666667	-6.656874266666667
osa-miR159c	-6.1756969875	-7.027727349999999	-7.7225193999999995	-8.403834791666668	-7.306743125	-7.143408050000001	-7.454226916666666	-6.61758615	-6.211200316666667	-8.054758083333333	-8.171177783333333	-7.089099075	-6.9364030083333335	-7.9366417	-5.602155083333334	-4.536822533333333	-5.815088408333334	-8.035002691666667	-7.244537525000001	-8.053366433333332	-8.181192633333334	-8.106087024999999	-7.886260541666668	-8.501440225000001	-8.173851808333334	-6.4096104416666675	-7.769779041666667	-6.885770825000001	-7.59472375	-8.49647605	-6.714715766666667	-8.559997125	-8.717943466666668	-8.455329333333333	-7.043178449999999	-7.455637408333334	-8.885302541666666	-7.051329416666667	-6.7256276999999995	-7.235360908333333	-7.130220491666667	-6.3198582750000005	-4.401633041666667	-4.734955191666667	-7.336821241666667	-8.47442285	-9.07728635	-8.595965524999999
osa-miR159d	-6.8420699	-7.62297505	-8.371353833333334	-8.528476441666667	-9.15584975	-8.983352258333333	-8.322705183333333	-8.121716416666667	-7.268642491666665	-7.9804009	-7.915718900000001	-7.7202682	-6.914335325000001	-7.808338408333333	-7.631617108333333	-7.745398475000001	-8.033391491666666	-8.127576616666667	-8.515445241666667	-6.108427391666666	-6.844620416666667	-7.745364033333334	-8.133795874999999	-7.84751155	-7.762532683333333	-5.970945616666666	-8.024437841666666	-7.5371668666666665	-7.976677633333334	-8.394599316666666	-7.0341610333333335	-8.597094333333333	-9.088946	-8.566978333333333	-7.476616491666667	-7.795612925	-8.872749999999998	-7.784054575	-7.176527666666666	-7.6341832499999995	-7.333003425	-6.661551433333333	-5.627373925	-6.660892558333334	-8.416454158333332	-9.057733208333334	-8.319300624999999	-8.331410275000001
osa-miR159e	-6.5661044375	-7.259843983333333	-7.575246516666667	-7.909794233333333	-7.360727933333333	-7.381054216666667	-6.940566466666667	-6.904790000000001	-6.3532516249999995	-7.364345841666666	-7.433218358333334	-6.706062283333334	-6.178785	-6.946654691666667	-6.0972854666666665	-5.515537608333333	-6.24069685	-7.987360033333334	-7.4739386083333335	-8.098898691666667	-7.7545667666666676	-7.945949716666667	-7.994884916666667	-7.4839346	-7.189583325000001	-6.416423633333333	-7.423984433333334	-6.703371466666667	-7.176975816666666	-7.9704844249999995	-7.044557508333334	-7.39161435	-7.827642133333332	-7.511731658333333	-7.284130041666667	-7.196971341666667	-8.500452000000001	-7.340456799999999	-7.023831925	-7.480107991666666	-5.69926335	-5.00200245	-4.411931066666667	-5.0244913916666665	-7.2124963499999994	-8.264213491666666	-7.691263183333334	-7.599433458333333
osa-miR159f	-7.0171339125	-7.769925216666667	-7.855105541666667	-8.347669766666668	-6.462435074999999	-6.701567574999999	-7.177048091666667	-5.862497333333334	-5.786093999999999	-7.581020958333333	-7.713024108333333	-7.1277132750000005	-6.588458141666666	-7.632249874999999	-5.187401466666667	-4.136292516666667	-5.553750708333333	-6.9572073083333335	-6.590057874999999	-7.235540133333333	-7.559799624999999	-7.701203008333334	-7.01051125	-7.634977366666667	-6.767208241666666	-5.992647491666666	-6.781217708333333	-7.127641566666667	-7.167007641666667	-7.663518024999999	-7.360511633333334	-8.156976525	-8.960154358333334	-7.644277266666666	-7.0494803416666665	-7.06162315	-7.872756266666667	-7.563715516666666	-7.235503891666667	-7.565958083333332	-5.915159616666666	-5.202454325000001	-3.8897872249999996	-4.2318258166666665	-6.8906593916666665	-7.798883733333334	-8.039800375	-7.881619783333334
osa-miR160a	-6.229648275000001	-6.583581875	-7.311180916666667	-7.113752783333333	-6.975776149999999	-6.613432024999999	-6.2666724416666675	-4.885197525	-5.252682275000001	-6.644105733333333	-5.642705291666666	-4.906117091666666	-3.749740608333333	-4.625334191666667	-4.011666625	-4.447503483333333	-5.004089766666667	-7.176562008333334	-7.252886191666668	-6.4063168333333325	-6.928815966666666	-7.36543855	-7.1493282833333325	-7.053351033333333	-6.993812875000001	-6.137714766666666	-7.296926716666666	-6.379217775	-6.066218066666667	-5.961359308333333	-6.0522865999999995	-6.867932199999999	-7.021623758333334	-6.8064992	-6.3496912	-6.456068733333335	-6.653477275	-5.445871708333333	-5.0080394833333335	-5.130690591666667	-6.698953575	-6.073277466666667	-4.903628266666666	-5.550230991666666	-5.8191742416666665	-6.4048542	-7.314811383333333	-7.112238125
osa-miR160b	-5.4221740625	-5.944719441666667	-6.0265826166666665	-5.848304150000001	-6.0196274249999995	-5.600406575	-4.783384258333334	-3.299763841666666	-4.578560525	-4.99146615	-4.203303966666667	-3.7266385	-2.3890578283333332	-3.3227098166666664	-1.889361125	-2.777084358333333	-3.167240483333334	-6.002098191666666	-6.306083541666666	-5.6467511749999995	-5.678442733333333	-6.4942232083333336	-5.652094875	-6.756637558333334	-6.3213067333333335	-6.454264833333333	-6.726122983333333	-5.212046041666667	-4.6817669	-4.234546758333333	-5.241561399999999	-6.028379908333332	-5.969502233333333	-5.963592333333334	-5.424124758333332	-4.996712375	-4.788035666666667	-3.9665561416666666	-3.5243830333333332	-3.6074516666666665	-5.7965316583333335	-5.003184291666667	-3.8891326999999998	-4.174996041666667	-4.337424566666666	-4.4844644916666665	-6.881370658333334	-6.222170341666666
osa-miR160c	-7.1014156	-6.978444633333333	-7.6794099749999996	-7.4172075500000005	-8.0016518	-7.793753225	-7.102282391666667	-4.555829083333333	-5.4526269166666665	-7.548476333333333	-6.415038733333333	-6.550618483333333	-5.757289	-6.590864983333334	-4.4411767583333335	-4.688114475	-5.342659308333334	-7.731315175	-7.7552524	-6.7582250749999995	-7.363044724999999	-7.812259058333333	-7.634264483333332	-7.273237083333334	-6.782401991666667	-6.042581266666667	-7.788145366666666	-6.676451583333333	-7.370612125	-7.753239766666667	-6.7536584500000005	-7.248411033333333	-8.139314941666667	-8.254608641666666	-6.6487577	-7.033765750000001	-8.001342358333334	-6.291732966666667	-5.772414291666667	-5.965882533333333	-7.014866183333333	-6.269391274999999	-5.34894225	-6.586504558333332	-5.1458222750000004	-6.5674696416666665	-7.9822648916666665	-7.944357291666667
osa-miR160d	-5.404303	-4.837262633333332	-5.216208241666667	-5.23711745	-5.444811733333334	-5.314699733333334	-5.3705555333333335	-3.6917919	-4.192135925	-7.842479641666667	-7.610152116666666	-7.271195283333333	-6.266355825000001	-7.2608451333333335	-1.9392707500000002	-1.7675234416666665	-2.4252515666666667	-7.785086383333333	-8.179946766666667	-6.913112766666667	-7.553958608333333	-8.145598475	-8.165708791666667	-5.78261585	-5.425748375	-6.559039083333334	-8.001945225	-4.602333441666667	-5.476515975000001	-7.738512666666666	-4.9296107750000004	-5.149408358333333	-7.8998607000000005	-8.006988633333334	-4.962039141666666	-6.019660466666667	-7.334449425	-2.8990021583333334	-2.628348358333333	-2.7899069083333337	-6.909255025	-6.410305866666666	-5.409622166666666	-6.435713499999999	-2.1135355583333335	-5.545430383333333	-8.072278941666667	-7.709184416666666
osa-miR160e	-4.241248	-5.891779808333333	-6.332992791666666	-6.834715925	-6.006165733333333	-5.5407386	-5.639491258333334	-3.233402841666667	-4.423206516666666	-7.165915483333333	-6.422730058333333	-6.803172125	-5.841415891666667	-6.480222025000001	-2.8334472666666666	-2.476818625	-3.0010090833333334	-7.172486525	-7.521430708333333	-6.889368175	-7.081485233333333	-7.426235041666666	-7.182764041666666	-6.616394766666666	-6.3366275750000005	-5.906816549999999	-7.637455816666667	-5.926950316666667	-6.232759708333334	-7.462698025000001	-5.738907416666667	-5.694816208333333	-7.182845225000001	-7.286049824999999	-5.4869558000000005	-6.317385733333334	-7.5407465333333334	-4.29842885	-4.055023158333333	-4.1020461500000005	-6.801236275	-6.508094591666667	-4.918881241666667	-6.180730991666667	-4.047422433333334	-6.465477491666667	-7.783691383333333	-7.651986641666666
osa-miR160f	-6.6521521125	-6.266206516666666	-6.172964583333333	-5.797253741666666	-6.910774258333333	-7.161959325000001	-7.1804384	-6.021635683333334	-5.865915058333333	-6.3479027	-5.592086466666667	-5.2056557916666675	-4.202825758333333	-5.168705816666667	-6.284932025	-6.124111291666668	-6.346288541666667	-6.87057135	-6.5735008583333325	-5.8626498499999995	-6.0710503	-6.901634291666667	-6.822175525	-4.464781558333333	-4.8025723000000005	-5.3189787583333334	-6.0075434	-6.306914908333333	-6.222033133333333	-6.373476725	-6.483199791666666	-6.2056820083333335	-6.945605508333333	-6.441448049999999	-6.223648600000001	-6.212178616666667	-6.607294666666667	-6.442162125	-6.3610433083333335	-6.405665775	-5.734608716666667	-5.33877365	-4.2275489083333335	-4.9768234583333335	-4.9058799833333335	-4.382146591666667	-4.914778291666667	-4.601346391666667
osa-miR162a	-4.550257	-4.48121065	-4.57297785	-4.542548158333333	-5.3415209416666665	-4.922575491666667	-4.670488016666667	-3.7840313083333332	-4.438033916666667	-4.465127191666667	-4.0776411	-4.692367725	-3.970461433333334	-5.577518608333333	-3.6484854833333333	-3.7254851583333335	-4.093342408333333	-3.9311470833333337	-4.7019580083333326	-4.7946755166666675	-5.600758033333332	-4.5678301333333335	-4.784868383333333	-4.778778591666667	-5.307394716666667	-4.2316101	-3.6400448833333336	-4.343361566666666	-4.503976191666667	-5.266674816666666	-5.204321208333334	-4.432751033333333	-5.164393475	-5.22629075	-4.351859741666667	-4.5424596416666665	-5.417956758333333	-4.019590708333333	-3.7369433750000005	-3.1415836749999997	-5.2397487	-5.200758908333333	-3.10497398	-3.540616983333333	-3.060074333333333	-3.5739483499999998	-3.617860633333333	-3.2733385583333336
osa-miR162b	-4.8263087125	-4.695395491666667	-5.3248743166666666	-4.302195258333334	-6.473411941666666	-5.799416516666667	-5.4432055	-4.6614756999999996	-4.755426725	-5.909635958333333	-5.716719383333333	-5.967301641666666	-5.5473806083333335	-6.366203241666667	-4.615852508333333	-4.783383008333334	-5.089001533333334	-4.585991108333333	-5.3651402416666665	-5.034084808333334	-5.0373856916666675	-4.832791108333334	-5.1429852416666675	-5.946165141666666	-6.310209100000001	-5.009635541666667	-4.367074025	-4.732831583333334	-4.807789183333333	-4.6914271916666666	-5.767699675	-5.454524124999999	-6.248847358333333	-6.146375516666667	-4.71077545	-4.817425308333333	-5.052533166666667	-4.8427548499999995	-4.4089167499999995	-3.948290933333333	-6.514616833333332	-6.540354625	-4.671452358333333	-5.367663425	-3.92918385	-4.409138816666666	-4.690478166666666	-4.388472033333333
osa-miR164a	-6.9549505875	-6.148370324999999	-5.085716575	-8.144599816666666	-4.279137208333334	-5.924610333333334	-6.724306558333333	-7.281642083333334	-6.761333083333334	-7.577606591666666	-7.5391248583333335	-6.982067175	-6.22661175	-7.1895198916666665	-3.91245295	-4.422770058333334	-5.5384976749999995	-7.054179975	-7.558472091666666	-6.603993575	-7.5095097666666675	-7.243609816666666	-7.388969683333333	-5.7408457916666675	-5.850345324999999	-5.867615000000001	-6.908091474999999	-7.34388375	-7.7655555750000005	-7.236053658333334	-7.067624408333334	-7.7918618083333335	-8.132391358333333	-6.958056308333333	-7.200434191666666	-7.368911391666667	-7.7012023166666665	-6.296855358333333	-6.7877118833333325	-7.675699008333333	-2.884967625	-2.1336001793333335	-2.046087341666667	-2.020974545	-5.0532783666666665	-4.991910566666667	-5.6958284416666665	-5.192492025
osa-miR164b	-4.9972967875	-5.463552608333333	-5.615856900000001	-5.787116366666666	-6.707188808333332	-6.776823525	-6.239113233333334	-6.163975633333333	-5.69259885	-5.377316525	-4.934885658333333	-4.607242308333333	-3.4669576083333333	-4.643758766666667	-5.32389795	-5.625868233333333	-6.2125697749999995	-5.464632341666667	-5.927788291666666	-4.78403385	-5.498110625	-5.8624202	-6.22450375	-5.815417525	-6.3615056	-5.007897558333333	-5.794298950000001	-5.335388575	-5.753585325	-6.481041625	-6.068300491666666	-6.022004291666666	-6.557255716666667	-5.935354241666666	-5.051007883333333	-5.5815689583333326	-6.389168833333334	-6.068689858333333	-6.346379833333333	-6.457103766666667	-5.732080266666666	-5.903894675	-4.240089575	-5.201500525	-5.815525166666667	-6.0236998333333345	-5.485101825	-5.602811858333333
osa-miR164c	-7.5356784375	-8.032624525000001	-8.328375366666664	-8.227987025	-8.453254424999999	-8.495689408333334	-7.765870066666667	-7.992275458333334	-6.893539858333333	-7.7973304500000005	-7.503681591666667	-7.361036583333333	-6.133131625	-7.461993483333333	-7.990851641666666	-8.195954866666666	-7.9048443	-7.457324825000001	-7.713241766666666	-7.184811458333333	-7.447870708333333	-7.904742308333333	-8.011474033333334	-8.020432558333333	-7.901913899999999	-6.147154666666666	-7.480002025	-7.410173816666667	-8.053307366666665	-8.513332616666666	-8.146684333333333	-8.0539248	-8.460902500000001	-8.269343758333333	-7.002785366666667	-7.594993233333334	-8.190051375000001	-7.979387291666666	-7.706526058333332	-8.023096916666667	-7.4676565749999995	-6.717039333333332	-5.787353291666666	-7.00583855	-8.226025983333333	-8.273452791666667	-8.213174075	-7.8712052083333335
